Sample.Name,,,,,,,Fraction,Sample.Group,Treatment.Group,Bio.Normalization,Bio.Normalization2,Injec_vol,Blanks,Notes
170413_Smp_KM1513-125m_A,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:28,15,CyanoAq,125m,1,12.17,1.26,1,170413_Blk_FilterBlk_A;170413_Blk_FilterBlk_B,
170413_Blk_Blk_14,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoAq,,1,,,,,
170413_Smp_KM1513-45m_B,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:29,15,CyanoAq,45m,1,9,3.01,1,170413_Blk_FilterBlk_A;170413_Blk_FilterBlk_B,
170413_Smp_KM1513-15m_C,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:30,15,CyanoAq,15m,1,10.7,3.47,1,170413_Blk_FilterBlk_A;170413_Blk_FilterBlk_B,
170413_Poo_April11AqExtractsHalf_1,Env pooled_Half strength,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:25,15,CyanoAq,Poo,1,11.14,2.4475,0.5,,
170413_Blk_Blk_15,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoAq,,1,,,,,
170413_Smp_KM1513-45m_C,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:31,15,CyanoAq,45m,1,9,3.01,1,170413_Blk_FilterBlk_A;170413_Blk_FilterBlk_B,
170413_Smp_KM1513-75m_A,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:32,15,CyanoAq,75m,1,12.7,2.05,1,170413_Blk_FilterBlk_A;170413_Blk_FilterBlk_B,
170413_Poo_April11AqExtractsFull_2,Env pooled_Full strength,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:24,15,CyanoAq,Poo,1,11.14,2.4475,1,,
170413_Blk_Blk_16,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoAq,,1,,,,,
170413_Poo_April11AqExtractsHalf_2,Env pooled_Half strength,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:25,15,CyanoAq,Poo,1,11.14,2.4475,0.5,,
170413_Poo_April11AqExtractsFull_3,Env pooled_Full strength,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:24,15,CyanoAq,Poo,1,11.14,2.4475,1,,
170413_Smp_KM1513-75m_B,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:33,15,CyanoAq,75m,1,12.7,2.05,1,170413_Blk_FilterBlk_A;170413_Blk_FilterBlk_B,
170413_Blk_Blk_17,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoAq,,1,,,,,
170413_Smp_KM1513-125m_C,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:34,15,CyanoAq,125m,1,12.17,1.26,1,170413_Blk_FilterBlk_A;170413_Blk_FilterBlk_B,
170413_Smp_KM1513-125m_B,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:35,15,CyanoAq,125m,1,12.17,1.26,1,170413_Blk_FilterBlk_A;170413_Blk_FilterBlk_B,
170413_Smp_KM1513-75m_C,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:36,15,CyanoAq,75m,1,12.7,2.05,1,170413_Blk_FilterBlk_A;170413_Blk_FilterBlk_B,
170413_Poo_April11AqExtractsHalf_3,Env pooled_Half strength,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:25,15,CyanoAq,Poo,1,11.14,2.4475,0.5,,
170413_Blk_Blk_18,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoAq,,1,,,,,
170413_Std_250nMStdsInEnvAqMatrix_2,Env Aq Matrix,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:20,15,CyanoAq,,1,,,,,
170413_Std_250nMStdsInH2O_2,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:02,15,CyanoAq,,1,,,,,
170413_Std_250nMStdsInEnvDCMMatrix_1,Env DCM Matrix,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,2:18,15,CyanoDCM,,1,,,,,
170413_Blk_Blk_28,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoDCM,,1,,,,,
170413_Blk_Blk_29,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoDCM,,1,,,,,
170413_Blk_FilterBlk_A-DCM,1/3 of durapore filter,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,2:19,15,CyanoDCM,,1,11.14,2.4475,1,,
170413_Blk_FilterBlk_B-DCM,1/3 of durapore filter,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,2:20,15,CyanoDCM,,1,11.14,2.4475,1,,
170413_Smp_KM1513-15m_B-DCM,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,2:21,15,CyanoDCM,15m,1,10.7,3.47,1,170413_Blk_FilterBlk_A-DCM;170413_Blk_FilterBlk_B-DCM,
170413_Poo_April11DCMExtractsFull_1,Env pooled_Full strength,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,2:22,15,CyanoDCM,Poo,1,11.14,2.4475,1,,
170413_Blk_Blk_30,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoDCM,,1,,,,,
170413_Smp_KM1513-45m_A-DCM,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,2:24,15,CyanoDCM,45m,1,9,3.01,1,170413_Blk_FilterBlk_A-DCM;170413_Blk_FilterBlk_B-DCM,
170413_Smp_KM1513-15m_A-DCM,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,2:25,15,CyanoDCM,15m,1,10.7,3.47,1,170413_Blk_FilterBlk_A-DCM;170413_Blk_FilterBlk_B-DCM,
170413_Smp_KM1513-125m_A-DCM,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,2:26,15,CyanoDCM,125m,1,12.17,1.26,1,170413_Blk_FilterBlk_A-DCM;170413_Blk_FilterBlk_B-DCM,
170413_Blk_Blk_31,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoDCM,,1,,,,,
170413_Smp_KM1513-45m_B-DCM,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,2:27,15,CyanoDCM,45m,1,9,3.01,1,170413_Blk_FilterBlk_A-DCM;170413_Blk_FilterBlk_B-DCM,
170413_Smp_KM1513-15m_C-DCM,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,2:28,15,CyanoDCM,15m,1,10.7,3.47,1,170413_Blk_FilterBlk_A-DCM;170413_Blk_FilterBlk_B-DCM,
170413_Poo_April11DCMExtractsHalf_1,Env pooled_Half strength,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,2:23,15,CyanoDCM,Poo,1,11.14,2.4475,0.5,,
170413_Blk_Blk_32,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoDCM,,1,,,,,
170413_Smp_KM1513-45m_C-DCM,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,2:29,15,CyanoDCM,45m,1,9,3.01,1,170413_Blk_FilterBlk_A-DCM;170413_Blk_FilterBlk_B-DCM,
170413_Smp_KM1513-75m_A-DCM,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,2:30,15,CyanoDCM,75m,1,12.7,2.05,1,170413_Blk_FilterBlk_A-DCM;170413_Blk_FilterBlk_B-DCM,
170413_Poo_April11DCMExtractsFull_2,Env pooled_Full strength,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,2:22,15,CyanoDCM,Poo,1,11.14,2.4475,1,,
170413_Blk_Blk_33,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoDCM,,1,,,,,
170413_Poo_April11DCMExtractsHalf_2,Env pooled_Half strength,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,2:23,15,CyanoDCM,Poo,1,11.14,2.4475,0.5,,
170413_Poo_April11DCMExtractsFull_3,Env pooled_Full strength,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,2:22,15,CyanoDCM,Poo,1,11.14,2.4475,1,,
170413_Smp_KM1513-75m_B-DCM,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,2:31,15,CyanoDCM,75m,1,12.7,2.05,1,170413_Blk_FilterBlk_A-DCM;170413_Blk_FilterBlk_B-DCM,
170413_Blk_Blk_34,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoDCM,,1,,,,,
170413_Smp_KM1513-125m_C-DCM,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,2:32,15,CyanoDCM,125m,1,12.17,1.26,1,170413_Blk_FilterBlk_A-DCM;170413_Blk_FilterBlk_B-DCM,Glass in vial!
170413_Smp_KM1513-125m_B-DCM,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,2:33,15,CyanoDCM,125m,1,12.17,1.26,1,170413_Blk_FilterBlk_A-DCM;170413_Blk_FilterBlk_B-DCM,
170413_Smp_KM1513-75m_C-DCM,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,2:34,15,CyanoDCM,75m,1,12.7,2.05,1,170413_Blk_FilterBlk_A-DCM;170413_Blk_FilterBlk_B-DCM,
170413_Poo_April11DCMExtractsHalf_3,Env pooled_Half strength,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,2:23,15,CyanoDCM,Poo,1,11.14,2.4475,0.5,,
170413_Blk_Blk_35,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoDCM,,1,,,,,
170413_Std_250nMStdsInEnvDCMMatrix_2,Env DCM Matrix,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,2:18,15,CyanoDCM,,1,,,,,
170413_Std_250nMStdsInH2O_3,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:02,15,CyanoDCM,,1,,,,,
170413_Blk_Blk_36,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoDCM,,1,,,,,
170413_Blk_Blk_37,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoDCM,,1,,,,,
