# Hello! welcome to your data! Overload height: 1e+08. RT flexibility: 0.4. Ion ratio flexibility: 0.3. Blank can be this fraction of a sample: 0.3. S/N threshold: 4. Minimum peak height: 1000. Processed on: 2016-10-18 11:28:44
"","Replicate.Name","Compound.Name","Retention.Time","Notes","Area","Height","IR","S.N","rawArea"
"19","160802_Smp_Pt2","Ketoglutaric Acid",12.5,"",2361409,173644,10.6233394066176,Inf,2361409
"20","160802_Smp_Pt34","Ketoglutaric Acid",12.455,"",4215411,329272,12.4458914847697,64.1815674695364,4215411
"21","160802_Smp_Pt56","Ketoglutaric Acid",12.385,"",5933071,461475,8.12874166995484,206.77362744078,5933071
"22","160802_Smp_Tp12","Ketoglutaric Acid",12.515,"",3054234,213642,7.69502909979592,397.756819953235,3054234
"23","160802_Smp_Tp34","Ketoglutaric Acid",12.45,"",2725178,202731,14.7433632148712,360.427327881825,2725178
"24","160802_Smp_TP56","Ketoglutaric Acid",12.39,"",3577522,253965,7.88356416443548,396.699811967703,3577522
"25","160802_Poo_0801_PooledDiatoms_1","Sarcosine",10.49,"",9154462,694283,3108.47606112054,740.634968085966,9154462
"26","160802_Poo_0801_PooledDiatoms_2","Sarcosine",10.525,"",8613185,629702,2803.77115885417,1083.87465426201,8613185
"27","160802_Poo_0801_PooledDiatoms_3","Sarcosine",10.475,"",10019797,756368,6003.47333732774,185.428150711406,10019797
"28","160802_Smp_Np12","Sarcosine",10.55,"comparable to blk",NA,16810,Inf,Inf,118506
"29","160802_Smp_Np34","Sarcosine",10.35,"comparable to blk",NA,4855,Inf,Inf,41272
"30","160802_Smp_NP56","Sarcosine",10.245,"comparable to blkbad S/N",NA,9999,Inf,2.82270201842605,51834
"31","160802_Smp_Pt2","Sarcosine",10.545,"",9887673,764499,17880.0596745027,249.072482312208,9887673
"32","160802_Smp_Pt34","Sarcosine",10.5,"",16536372,1266493,6627.80440881764,115.98763646478,16536372
"33","160802_Smp_Pt56","Sarcosine",10.485,"",18887712,1532128,4802.36765827613,173.111717589597,18887712
"34","160802_Smp_Tp12","Sarcosine",10.515,"",7656606,627197,1368.96227427141,379.328194485621,7656606
"35","160802_Smp_Tp34","Sarcosine",10.495,"",7722681,644952,1997.07292474787,306.642973047849,7722681
"36","160802_Smp_TP56","Sarcosine",10.515,"",8135701,604721,919.807914075749,132.643517095193,8135701
"37","160802_Poo_0801_PooledDiatoms_1","13C Acetyl CoA",10.85,"",1135267,27356,1.48729870510986,296.488547631442,1135267
"38","160802_Poo_0801_PooledDiatoms_2","13C Acetyl CoA",10.86,"",1311426,47884,1.51607488433713,Inf,1311426
"39","160802_Poo_0801_PooledDiatoms_3","13C Acetyl CoA",10.85,"",1119002,45099,1.43463266289911,Inf,1119002
"40","160802_Smp_Np12","13C Acetyl CoA",11.03,"",767042,30676,1.58414945951863,Inf,767042
"41","160802_Smp_Np34","13C Acetyl CoA",10.84,"",837422,31976,1.40503746556289,Inf,837422
"42","160802_Smp_NP56","13C Acetyl CoA",10.87,"",886737,38676,1.92137782198041,Inf,886737
"43","160802_Smp_Pt2","13C Acetyl CoA",11.14,"",619847,18881,1.65571576630481,Inf,619847
"44","160802_Smp_Pt34","13C Acetyl CoA",10.835,"",884658,42389,1.36931880623536,97.3469832280549,884658
"45","160802_Smp_Pt56","13C Acetyl CoA",10.785,"",885108,31663,1.63186937788193,461.274570982839,885108
"46","160802_Smp_Tp12","13C Acetyl CoA",11.09,"",623013,33611,1.24872824792852,89.1954983012457,623013
"47","160802_Smp_Tp34","13C Acetyl CoA",10.91,"",910842,37703,1.54087494924888,411.474087426769,910842
"48","160802_Smp_TP56","13C Acetyl CoA",10.825,"",1107381,40635,1.3029299366055,286.702012383901,1107381
"49","160802_Poo_0801_PooledDiatoms_1","13C-Isethionic Acid",6.475,"",24386496,744632,1.37442711294004,135.444563281823,24386496
"50","160802_Poo_0801_PooledDiatoms_2","13C-Isethionic Acid",6.305,"",24373576,724513,1.34380298338935,103.508615432496,24373576
"51","160802_Poo_0801_PooledDiatoms_3","13C-Isethionic Acid",6.39,"",25908836,772244,1.33776839054637,201.280111005465,25908836
"52","160802_Smp_Np12","13C-Isethionic Acid",6.78,"",15349685,588053,1.37868491418296,227.700807868969,15349685
"53","160802_Smp_Np34","13C-Isethionic Acid",6.7,"",15719490,534037,1.31505432178767,78.1262664671393,15719490
"54","160802_Smp_NP56","13C-Isethionic Acid",6.545,"",15181500,431610,1.37290390586029,1331.19363883291,15181500
"55","160802_Smp_Pt2","13C-Isethionic Acid",6.7,"",14807081,506872,1.41097489856321,371.872410770194,14807081
"56","160802_Smp_Pt34","13C-Isethionic Acid",6.665,"",15275583,537284,1.42005040219591,94.1886884535843,15275583
"57","160802_Smp_Pt56","13C-Isethionic Acid",6.545,"",17899934,524417,1.46644827703162,Inf,17899934
"58","160802_Smp_Tp12","13C-Isethionic Acid",6.76,"",16438633,567973,1.40371071556688,105.090732368324,16438633
"59","160802_Smp_Tp34","13C-Isethionic Acid",6.58,"",22009304,755019,1.3653593955454,83.8894496207528,22009304
"60","160802_Smp_TP56","13C-Isethionic Acid",6.42,"",22548842,725398,1.31721605088278,74.5752970082193,22548842
"61","160802_Poo_0801_PooledDiatoms_1","13C-Sulfoacetic Acid",13.85,"",5228195,1164773,1.84679616835879,Inf,5228195
"62","160802_Poo_0801_PooledDiatoms_2","13C-Sulfoacetic Acid",13.85,"",5415761,1150071,1.92781721663734,219.20149073328,5415761
"63","160802_Poo_0801_PooledDiatoms_3","13C-Sulfoacetic Acid",13.85,"",6446816,1315835,2.8164727510389,137.077676460655,6446816
"64","160802_Smp_Np12","13C-Sulfoacetic Acid",13.96,"",2210542,428572,1.53636824876113,2082.48964218456,2210542
"65","160802_Smp_Np34","13C-Sulfoacetic Acid",13.95,"",2385470,348829,1.78945457518767,15592.3071895425,2385470
"66","160802_Smp_NP56","13C-Sulfoacetic Acid",13.89,"",2831551,561350,2.20493666420856,74.4971447853398,2831551
"67","160802_Smp_Pt2","13C-Sulfoacetic Acid",13.96,"",2862768,519153,1.71247986342121,Inf,2862768
"68","160802_Smp_Pt34","13C-Sulfoacetic Acid",13.92,"",3821729,668815,2.03939644099552,175.827493138152,3821729
"69","160802_Smp_Pt56","13C-Sulfoacetic Acid",13.9,"",3442592,537915,1.51040892927263,102.797622567863,3442592
"70","160802_Smp_Tp12","13C-Sulfoacetic Acid",13.95,"",3476591,723567,2.12092267634951,130.366339212622,3476591
"71","160802_Smp_Tp34","13C-Sulfoacetic Acid",13.91,"",3693162,921341,2.71490552278568,223.667430362957,3693162
"72","160802_Smp_TP56","13C-Sulfoacetic Acid",13.87,"",4545379,923289,1.76767527887662,2383.27410901468,4545379
"73","160802_Poo_0801_PooledDiatoms_1","13C-Sulfolactic Acid",13.51,"",3848118,348456,1.54863502552473,143.454299781587,3848118
"74","160802_Poo_0801_PooledDiatoms_2","13C-Sulfolactic Acid",13.47,"",3635593,305912,1.36880256652858,89.3927303671286,3635593
"75","160802_Poo_0801_PooledDiatoms_3","13C-Sulfolactic Acid",13.46,"",3785508,315112,1.39576731828147,10122.679144385,3785508
"76","160802_Smp_Np12","13C-Sulfolactic Acid",13.55,"",2207283,229148,1.51890683007559,Inf,2207283
"77","160802_Smp_Np34","13C-Sulfolactic Acid",13.53,"",2292795,188745,1.29913556980659,Inf,2292795
"78","160802_Smp_NP56","13C-Sulfolactic Acid",13.5,"",2404671,246001,1.72762385093703,Inf,2404671
"79","160802_Smp_Pt2","13C-Sulfolactic Acid",13.56,"",3526111,357382,1.55751561552396,Inf,3526111
"80","160802_Smp_Pt34","13C-Sulfolactic Acid",13.56,"",3281622,304510,1.39153019378929,784.390307949391,3281622
"81","160802_Smp_Pt56","13C-Sulfolactic Acid",13.53,"",3499515,307026,1.34851184581368,1546.03973509934,3499515
"82","160802_Smp_Tp12","13C-Sulfolactic Acid",13.6,"",2253666,224326,1.35593112244898,Inf,2253666
"83","160802_Smp_Tp34","13C-Sulfolactic Acid",13.53,"",2740816,243416,1.49181325446132,1355.82748393475,2740816
"84","160802_Smp_TP56","13C-Sulfolactic Acid",13.5,"",2650926,206002,1.70075827322344,2310.16898954704,2650926
"85","160802_Poo_0801_PooledDiatoms_1","d3-Cysteic Acid",12.25,"",2448059,220031,1.1784726919124,Inf,2448059
"86","160802_Poo_0801_PooledDiatoms_2","d3-Cysteic Acid",12.23,"",1662773,131532,0.898426161764722,220.016464699684,1662773
"87","160802_Poo_0801_PooledDiatoms_3","d3-Cysteic Acid",12.23,"",2447449,246161,1.35207718739987,1360.69388888889,2447449
"88","160802_Smp_Np12","d3-Cysteic Acid",12.39,"",1136098,123648,1.21580625829374,Inf,1136098
"89","160802_Smp_Np34","d3-Cysteic Acid",12.375,"",1124420,102604,1.26414322204634,Inf,1124420
"90","160802_Smp_NP56","d3-Cysteic Acid",12.26,"",897033,68013,1.25446703893739,564.10922787194,897033
"91","160802_Smp_Pt2","d3-Cysteic Acid",12.34,"",1507643,124573,1.16909342012108,Inf,1507643
"92","160802_Smp_Pt34","d3-Cysteic Acid",12.32,"",1610095,127515,1.04598896644198,403.825869402052,1610095
"93","160802_Smp_Pt56","d3-Cysteic Acid",12.34,"",2320656,197809,1.35868516454178,66.2126117012308,2320656
"94","160802_Smp_Tp12","d3-Cysteic Acid",12.41,"",1678408,137396,1.21472895259077,563.280737018425,1678408
"95","160802_Smp_Tp34","d3-Cysteic Acid",12.33,"",1808708,158306,1.28385790246641,1943.75832438238,1808708
"96","160802_Smp_TP56","d3-Cysteic Acid",12.31,"",2110413,195665,1.56697507512212,322.073026015518,2110413
"97","160802_Poo_0801_PooledDiatoms_1","d4 Succinic Acid",12.33,"",3064700,327343,14.6393308717106,4.43534639303761,3064700
"98","160802_Poo_0801_PooledDiatoms_2","d4 Succinic Acid",12.33,"",2690337,247377,12.5594608978189,4.02199829036979,2690337
"99","160802_Poo_0801_PooledDiatoms_3","d4 Succinic Acid",12.32,"",3953910,374452,14.3521250993673,28.0897393735098,3953910
"100","160802_Smp_Np12","d4 Succinic Acid",12.465,"",3054188,249608,15.66852892138,57.2010157515089,3054188
"101","160802_Smp_Np34","d4 Succinic Acid",12.44,"",2920598,246982,12.843551834229,11.9798981183857,2920598
"102","160802_Smp_NP56","d4 Succinic Acid",12.38,"",2893436,252991,10.0106769076409,24.0026632322895,2893436
"103","160802_Smp_Pt2","d4 Succinic Acid",12.46,"",2939313,261948,14.6777774448706,14.4918754418015,2939313
"104","160802_Smp_Pt34","d4 Succinic Acid",12.39,"",2740855,248774,14.7217701434656,8.04092222721726,2740855
"105","160802_Smp_Pt56","d4 Succinic Acid",12.41,"",3393141,338361,11.0194464200466,6.38989924341222,3393141
"106","160802_Smp_Tp12","d4 Succinic Acid",12.45,"",3151353,247038,22.563009687189,19.7939634659081,3151353
"107","160802_Smp_Tp34","d4 Succinic Acid",12.42,"",2805113,269496,30.2291395010507,7.71757851227795,2805113
"108","160802_Smp_TP56","d4 Succinic Acid",12.35,"",3167167,271783,18.1160061088962,10.4378896239347,3167167
"109","160802_Poo_0801_PooledDiatoms_1","d4 Taurine",10.48,"",6842272,478733,62.5945421778229,1205.2013375572,6842272
"110","160802_Poo_0801_PooledDiatoms_2","d4 Taurine",10.455,"",6472119,445482,73.0487471783296,1418.76976998905,6472119
"111","160802_Poo_0801_PooledDiatoms_3","d4 Taurine",10.43,"",6764121,444368,40.3058097962102,317.242975361167,6764121
"112","160802_Smp_Np12","d4 Taurine",10.735,"",6456241,380052,52.9443105031818,2955.80137299771,6456241
"113","160802_Smp_Np34","d4 Taurine",10.685,"",6480614,419471,374.104600819719,1196.02378757145,6480614
"114","160802_Smp_NP56","d4 Taurine",10.555,"",6299168,404011,66.7610064226212,782.340610270404,6299168
"115","160802_Smp_Pt2","d4 Taurine",10.585,"",8671467,690008,54.8029261202048,609.310557699053,8671467
"116","160802_Smp_Pt34","d4 Taurine",10.58,"",6123316,470034,64.8807561084151,177.795611375776,6123316
"117","160802_Smp_Pt56","d4 Taurine",10.62,"",7292034,469795,50.8659021470724,88.3381162267044,7292034
"118","160802_Smp_Tp12","d4 Taurine",10.71,"",8566921,589235,61.1368330157643,Inf,8566921
"119","160802_Smp_Tp34","d4 Taurine",10.635,"",8082281,528176,32.7501600577018,102.65240413035,8082281
"120","160802_Smp_TP56","d4 Taurine",10.555,"",6639166,421175,55.6230395442359,259.112355182334,6639166
"121","160802_Poo_0801_PooledDiatoms_1","D-Methionine",7.63,"",16016446,420768,1.13938090429154,769.69101555001,16016446
"122","160802_Poo_0801_PooledDiatoms_2","D-Methionine",7.615,"",16218341,442544,1.05351603421198,13792.106292517,16218341
"123","160802_Poo_0801_PooledDiatoms_3","D-Methionine",7.64,"",15697088,492120,0.958844501423812,14.7636043834252,15697088
"124","160802_Smp_Np12","D-Methionine",8.035,"",30772054,953468,0.991684201794555,136.588977356346,30772054
"125","160802_Smp_Np34","D-Methionine",8,"",30438432,899137,1.0113443864837,119.05346033913,30438432
"126","160802_Smp_NP56","D-Methionine",7.995,"",30095146,838242,0.980589281284165,Inf,30095146
"127","160802_Smp_Pt2","D-Methionine",8.185,"",10390443,302768,1.00514225880952,Inf,10390443
"128","160802_Smp_Pt34","D-Methionine",8.28,"",11834876,339746,0.99449070744365,Inf,11834876
"129","160802_Smp_Pt56","D-Methionine",7.955,"",11278607,276647,1.00084203572986,88.2174131584645,11278607
"130","160802_Smp_Tp12","D-Methionine",8.38,"",11197167,411773,1.05718724596302,147.091291017027,11197167
"131","160802_Smp_Tp34","D-Methionine",8.3,"",10635363,301902,0.959475778732139,880.318974782968,10635363
"132","160802_Smp_TP56","D-Methionine",7.605,"",11970320,313502,1.0333841493814,Inf,11970320
"133","160802_Poo_0801_PooledDiatoms_1","Heavy Alanine",11.11,"",7086165,614719,NA,Inf,7086165
"134","160802_Poo_0801_PooledDiatoms_2","Heavy Alanine",11.14,"",7303440,627161,NA,Inf,7303440
"135","160802_Poo_0801_PooledDiatoms_3","Heavy Alanine",11.12,"",7978622,712867,NA,23060.6011560694,7978622
"136","160802_Smp_Np12","Heavy Alanine",11.2,"",6792326,534058,NA,Inf,6792326
"137","160802_Smp_Np34","Heavy Alanine",11.14,"",6922393,469758,NA,Inf,6922393
"138","160802_Smp_NP56","Heavy Alanine",11.17,"",6444134,532727,NA,257.472737403486,6444134
"139","160802_Smp_Pt2","Heavy Alanine",11.19,"",5230729,380219,NA,1745.15771923975,5230729
"140","160802_Smp_Pt34","Heavy Alanine",11.18,"",5278020,459162,NA,Inf,5278020
"141","160802_Smp_Pt56","Heavy Alanine",11.22,"",6264467,469414,NA,Inf,6264467
"142","160802_Smp_Tp12","Heavy Alanine",11.15,"",7053559,468010,NA,9558.66802168022,7053559
"143","160802_Smp_Tp34","Heavy Alanine",11.18,"",8448389,692604,NA,16534.0508806262,8448389
"144","160802_Smp_TP56","Heavy Alanine",11.14,"",8287555,737071,NA,93.6636067846641,8287555
"145","160802_Poo_0801_PooledDiatoms_1","Heavy Histidine",11.01,"",112482368,6823054,6.95587748761072,33.9298384955409,112482368
"146","160802_Poo_0801_PooledDiatoms_2","Heavy Histidine",11.03,"",117136392,6756934,6.86101006972393,32.1379172573545,117136392
"147","160802_Poo_0801_PooledDiatoms_3","Heavy Histidine",10.98,"",130653248,7703853,6.35517939838742,31.1136356407511,130653248
"148","160802_Smp_Np12","Heavy Histidine",11.13,"",49164444,2929806,6.08940962094251,17.0454440573419,49164444
"149","160802_Smp_Np34","Heavy Histidine",11.12,"",52152244,2898918,6.68083104168698,28.3212897818058,52152244
"150","160802_Smp_NP56","Heavy Histidine",11.04,"",52839212,3049608,6.39968441963662,23.0945900062722,52839212
"151","160802_Smp_Pt2","Heavy Histidine",11.08,"",67662776,4133547,6.72578434278582,16.6289110519078,67662776
"152","160802_Smp_Pt34","Heavy Histidine",11.06,"",91451128,5532018,6.48559386173239,26.2999726392955,91451128
"153","160802_Smp_Pt56","Heavy Histidine",11.045,"",112780536,6542918,6.27466966063089,33.0250042593792,112780536
"154","160802_Smp_Tp12","Heavy Histidine",11.13,"",52323152,3242237,6.28659171911585,35.6132944883369,52323152
"155","160802_Smp_Tp34","Heavy Histidine",11.07,"",61175904,3643422,6.41985246153497,19.8377413150597,61175904
"156","160802_Smp_TP56","Heavy Histidine",11.02,"",74662776,4405431,6.82519395682901,22.2370916790446,74662776
"157","160802_Poo_0801_PooledDiatoms_1","Heavy Isoleucine",8.17,"",16678967,688443,NA,77.0339849199041,16678967
"158","160802_Poo_0801_PooledDiatoms_2","Heavy Isoleucine",8.26,"",18068764,751085,NA,134.780265505727,18068764
"159","160802_Poo_0801_PooledDiatoms_3","Heavy Isoleucine",8.225,"",18200690,811933,34.4603002097833,152.348279102256,18200690
"160","160802_Smp_Np12","Heavy Isoleucine",8.045,"",47537496,1624126,20.2492984360278,472.592785857423,47537496
"161","160802_Smp_Np34","Heavy Isoleucine",8.04,"",43424480,1525619,14.4908148657352,1571.44880836136,43424480
"162","160802_Smp_NP56","Heavy Isoleucine",7.925,"",38494004,1163953,18.1638464278889,190.851961451583,38494004
"163","160802_Smp_Pt2","Heavy Isoleucine",8.235,"",17945126,764857,23.879870920523,64.905323210165,17945126
"164","160802_Smp_Pt34","Heavy Isoleucine",8.23,"",23422116,987602,53.1564546803865,1064.81959395013,23422116
"165","160802_Smp_Pt56","Heavy Isoleucine",8.18,"",20900132,971376,44.9378227869875,126.39978880169,20900132
"166","160802_Smp_Tp12","Heavy Isoleucine",8.36,"",31533358,1361736,64.9574988773211,49.7209343287641,31533358
"167","160802_Smp_Tp34","Heavy Isoleucine",8.28,"",24861336,1146105,NA,158.471820012921,24861336
"168","160802_Smp_TP56","Heavy Isoleucine",8.28,"",21651112,1066708,52.7046234064669,98.132874536792,21651112
"169","160802_Poo_0801_PooledDiatoms_1","AMP",11.83,"",10613575,638144,1.50627390901111,253.163815633167,10613575
"170","160802_Poo_0801_PooledDiatoms_2","AMP",11.85,"",10054322,693768,1.36055741283151,82.0950137923247,10054322
"171","160802_Poo_0801_PooledDiatoms_3","AMP",11.82,"",11173118,750424,1.65279583298078,79.3874923704021,11173118
"172","160802_Smp_Np12","AMP",11.935,"",6177157,427083,1.67833674725032,Inf,6177157
"173","160802_Smp_Np34","AMP",11.95,"",4312243,356984,1.44574907676086,217.044238476954,4312243
"174","160802_Smp_NP56","AMP",11.85,"",4822410,345609,1.41243611334847,6783.57383966245,4822410
"175","160802_Smp_Pt2","AMP",11.94,"",4244733,359000,1.54103718870997,169.763239503817,4244733
"176","160802_Smp_Pt34","AMP",11.91,"",8272897,565333,1.42813465476707,143.398006781762,8272897
"177","160802_Smp_Pt56","AMP",11.91,"",10233014,719618,1.54454340564035,75.4907223399067,10233014
"178","160802_Smp_Tp12","AMP",11.97,"",10777365,755342,1.51018573660574,92.0796592551277,10777365
"179","160802_Smp_Tp34","AMP",11.87,"",10842141,884951,1.67752707688751,68.3065381224936,10842141
"180","160802_Smp_TP56","AMP",11.845,"",13401723,869488,1.47121730324312,92.1458622378193,13401723
"181","160802_Poo_0801_PooledDiatoms_1","DHAP",13.73,"",565324,23948,6.10204544227967,Inf,565324
"182","160802_Poo_0801_PooledDiatoms_2","DHAP",13.68,"",649811,24772,7.07531412643453,420.232903225806,649811
"183","160802_Poo_0801_PooledDiatoms_3","DHAP",13.55,"",577387,22932,12.362688420692,83.1552361980649,577387
"184","160802_Smp_Np12","DHAP",14.04,"",353029,19958,12.3969870421744,Inf,353029
"185","160802_Smp_Np34","DHAP",14.01,"",235995,8760,12.8874508519004,Inf,235995
"186","160802_Smp_NP56","DHAP",13.94,"",284644,13178,8.96798991808444,Inf,284644
"187","160802_Smp_Pt2","DHAP",14.19,"",201441,10008,9.57965569716568,Inf,201441
"188","160802_Smp_Pt34","DHAP",13.52,"",779985,29060,10.168633074767,172.538376951836,779985
"189","160802_Smp_Pt56","DHAP",14.09,"",731157,21340,5.35516688273165,Inf,731157
"190","160802_Smp_Tp12","DHAP",13.53,"",492586,16019,7.09256886149947,Inf,492586
"191","160802_Smp_Tp34","DHAP",14.03,"Bad IR",429865,14674,4.44130470719511,Inf,429865
"192","160802_Smp_TP56","DHAP",13.76,"",590192,21077,5.18626701464864,429.296081277213,590192
"193","160802_Poo_0801_PooledDiatoms_1","Dimethyl Glycine",8.81,"",111157968,5733330,196.09698475087,41.9363111275442,111157968
"194","160802_Poo_0801_PooledDiatoms_2","Dimethyl Glycine",8.87,"",107125792,5230826,163.901150550796,40.5166014609138,107125792
"195","160802_Poo_0801_PooledDiatoms_3","Dimethyl Glycine",8.82,"",106273008,5604441,177.423595818885,69.7927769305062,106273008
"196","160802_Smp_Np12","Dimethyl Glycine",8.34,"comparable to blkbad S/N",NA,224682,73.9662526604274,1.64597587299809,5073937
"197","160802_Smp_Np34","Dimethyl Glycine",9.05,"comparable to blk",NA,206093,NA,17.9780700637753,5334985
"198","160802_Smp_NP56","Dimethyl Glycine",8.62,"comparable to blkbad S/N",NA,116810,NA,1.50892890820006,1376271
"199","160802_Smp_Pt2","Dimethyl Glycine",8.86,"",123278904,6646915,158.162821399384,49.6467550455476,123278904
"200","160802_Smp_Pt34","Dimethyl Glycine",8.83,"",202620336,10943809,159.719136941079,318.788962882336,202620336
"201","160802_Smp_Pt56","Dimethyl Glycine",8.885,"",229786384,12254117,169.69500647656,136.537761713091,229786384
"202","160802_Smp_Tp12","Dimethyl Glycine",8.88,"",149483440,7691297,163.839553167167,86.1229778917685,149483440
"203","160802_Smp_Tp34","Dimethyl Glycine",8.87,"",144174512,7455628,187.57775314463,65.107306679188,144174512
"204","160802_Smp_TP56","Dimethyl Glycine",8.88,"",136676176,7106989,198.031763050713,88.1066538267646,136676176
"205","160802_Poo_0801_PooledDiatoms_1","Lysine",17.91,"",111848488,4044655,1.80734200886461,32.4720679862134,111848488
"206","160802_Poo_0801_PooledDiatoms_2","Lysine",17.93,"",116692840,4150224,1.80186051119526,37.5641387504637,116692840
"207","160802_Poo_0801_PooledDiatoms_3","Lysine",17.895,"",120044664,4259891,1.79008728617982,33.2625083582558,120044664
"208","160802_Smp_Np12","Lysine",17.85,"",13969832,379532,1.62212846715261,51.1982874164999,13969832
"209","160802_Smp_Np34","Lysine",17.895,"",11002475,314946,1.64026581833312,31.0018951478761,11002475
"210","160802_Smp_NP56","Lysine",17.95,"",12793187,360771,1.64640895567489,39.9437784623627,12793187
"211","160802_Smp_Pt2","Lysine",17.87,"",47264212,1639069,1.73777700844265,25.0663226259792,47264212
"212","160802_Smp_Pt34","Lysine",17.85,"",124157848,4536436,1.79736771399122,33.1351833815568,124157848
"213","160802_Smp_Pt56","Lysine",17.875,"",149500496,5725187,1.75763252034967,31.0571115392588,149500496
"214","160802_Smp_Tp12","Lysine",17.82,"",87731504,3255483,1.8546054816742,57.0997282985761,87731504
"215","160802_Smp_Tp34","Lysine",17.87,"",102662352,3758205,1.82327606324609,53.4048197445158,102662352
"216","160802_Smp_TP56","Lysine",17.925,"",129250504,4806933,1.82798461698603,63.9546864406119,129250504
"217","160802_Poo_0801_PooledDiatoms_1","Methionine",7.65,"",43111376,1221622,1.16781246424349,262.536262656289,43111376
"218","160802_Poo_0801_PooledDiatoms_2","Methionine",7.6,"",43266912,1357944,1.14045781196344,139.668444347584,43266912
"219","160802_Poo_0801_PooledDiatoms_3","Methionine",7.62,"",45483280,1394257,1.16162148622071,95.8999741276425,45483280
"220","160802_Smp_Np12","Methionine",8.05,"",33450830,952765,1.11628840278878,100.096834016181,33450830
"221","160802_Smp_Np34","Methionine",8.015,"",28251390,902587,1.16970388281179,218.743822545589,28251390
"222","160802_Smp_NP56","Methionine",7.92,"",28123074,774855,1.16598136126297,Inf,28123074
"223","160802_Smp_Pt2","Methionine",8.29,"",24672552,682892,1.19389975008606,Inf,24672552
"224","160802_Smp_Pt34","Methionine",8.35,"",38287820,975138,1.15127537242376,849.22038591905,38287820
"225","160802_Smp_Pt56","Methionine",8.28,"",39174624,969023,1.13380307045212,147.515657784011,39174624
"226","160802_Smp_Tp12","Methionine",8.37,"",38784040,1480883,1.14726686078837,106.80139344307,38784040
"227","160802_Smp_Tp34","Methionine",8.39,"",41280848,1168140,1.14442337383496,8198.15011914218,41280848
"228","160802_Smp_TP56","Methionine",7.595,"",46408264,1135018,1.18936763460193,1959.31985821588,46408264
"241","160802_Blk_9","Picolinic Acid",5.45,"Blank used for comparison",96287,8223,NA,8.88979023271059,96287
"421","160802_Blk_9","Ketoglutaric Acid",13.07,"Blank used for comparison",48403,9857,NA,Inf,48403
"781","160802_Blk_9","Sarcosine",10.77,"Blank used for comparison",170342,13928,NA,62.8975290697674,170342
"1311","160802_Blk_0801_FilterBlank","13C Acetyl CoA",10.88,"Blank used for comparison",1030398,47157,NA,Inf,1030398
"1671","160802_Blk_0801_FilterBlank","13C-Isethionic Acid",6.84,"Blank used for comparison",22871824,791969,NA,326.633190011105,22871824
"1851","160802_Blk_0801_FilterBlank","13C-Sulfoacetic Acid",13.99,"Blank used for comparison",1328183,119548,NA,Inf,1328183
"2211","160802_Blk_0801_FilterBlank","13C-Sulfolactic Acid",13.6,"Blank used for comparison",1447700,136269,NA,Inf,1447700
